Data,AMZN,BAC,C,F,FB,GOOG,MS,NFLX,PEP,TSLA
2016-01-04,-0.05927642105072207,-0.02405393174560558,-0.01205301155862853,-0.008553088635602172,-0.02358967065254193,-0.022710045870376654,-0.010428074551936034,-0.039409559503346195,-0.011575842730442987,-0.07167193562060005
2016-01-05,-0.005036306915142916,0.0,-0.0052947095829678995,-0.01805752052260532,0.00497685462336476,0.00099700930163373,-0.006373695145623136,-0.021138507822724847,0.006860857839223812,8.955369781024233e-5
2016-01-06,-0.0018002493903484526,-0.02153253604791984,-0.014656588965372676,-0.045479275922890895,0.002333475618180061,0.0013995131052976322,-0.02525206119463649,0.08899093173813356,0.0003017931183169493,-0.019843853441797565
2016-01-07,-0.039841188323527725,-0.03673617126033943,-0.05242786735219219,-0.03177333853546246,-0.050286895459079564,-0.02344306426148342,-0.05112078658169485,-0.026870396985272715,-0.019386599541551933,-0.01559758302993885
2016-01-08,-0.0014650570206905871,-0.019544680906426574,-0.030528849496931788,-0.012678528247133137,-0.00604351481326738,-0.016546112758977268,-0.02092119757922735,-0.028061130523489658,-0.0036966694345043766,-0.021798596303669673
2016-01-11,0.01745650126962524,0.0072106544421235985,0.015487503898581145,0.018175081659299874,0.001847673503584446,0.0021811383603362383,0.00281462208155117,0.03163368400554082,0.002363524816870819,-0.015041493197804375
2016-01-12,0.00024283064381223234,0.0,0.0006399907850918112,0.006245224943213811,0.01889532612838699,0.0139243325571368,0.0,0.013906512940597368,0.0018453143660799973,0.010147992658043942
2016-01-13,-0.06016654204035878,-0.027144815646112604,-0.03671513258154523,-0.051907852412323534,-0.04035248151302839,-0.03576642726804041,-0.056745033961305015,-0.08986956444284169,-0.011539180444463356,-0.04709847762172431
2016-01-14,0.019050469243436632,0.0060220052265819324,0.004195777752970747,-0.000820019193423321,0.03023810407540235,0.020010804884071427,0.009622618772132415,0.004681218280157377,-0.007175951774966665,0.028883401754665437
2016-01-15,-0.0392423113918968,-0.03599704542523718,-0.06627333141041804,-0.01821266939368708,-0.03517484233717105,-0.028770633672892895,-0.04443510556693612,-0.028613952780927678,-0.01981729112980295,-0.005788350890355521
2016-01-19,0.007513162198095501,-0.01533148228026138,-0.0125581851233192,-0.001672159155601383,0.0030489526895495496,0.010513999724126543,0.011104714933599115,0.03633673452586972,0.019399648562513753,-0.0013180264436986533
2016-01-20,-0.004728403029986005,-0.03938925615975857,-0.03518506090840406,-0.004192829822865721,-0.009598762155954524,-0.004770571013463227,-0.03961656855862474,-0.0013912864813409405,-0.021104752304320924,-0.029847006020351563
2016-01-21,0.005668009993416517,-0.024400353645771377,-0.008432627149582065,0.009201359354074193,-0.00201575379759062,0.011587008902652452,-0.01839326941835216,-0.051322600225884814,0.007437609480826638,0.006371150531019343
2016-01-22,0.03647319920777513,0.014859257535164403,0.022412307786748277,0.010766189308963085,0.03935956935731041,0.02606580244798541,0.03294600602860848,-0.01605389534299712,0.014501974731756734,0.012819385890309594
2016-01-25,0.000251526788366167,-0.045256707846180654,-0.03746908326669128,-0.01326726613784905,-0.009540983207825166,-0.0189021261908377,-0.024907228156914395,-0.016013136825308544,0.000938620586642736,-0.03093514561005793
2016-01-26,0.007881238656475347,0.026647858291675406,0.023736538637770588,0.02310323481759953,0.003395878789556741,0.001923192196324825,0.020210662684920687,-0.013099967844515451,0.00395311322242065,-0.01446399416904524
2016-01-27,-0.03022351400158862,0.0037495920193406458,0.0014803664449343267,-0.0008434035802614708,-0.030139405146784124,-0.018471453731015615,0.001183288090480128,-0.07072477932105842,-0.003953113222420596,-0.028773396671667884
2016-01-28,0.0853886823059976,0.01264424359425388,-0.0029669758197793405,-0.011884713107911546,0.14428599162422884,0.04329273347437801,-0.007914478811230892,0.03514052066886879,0.015616416670945236,0.008629648980044913
2016-01-29,-0.07915116989628349,0.044098163341779774,0.05280271528379124,0.019450772393569037,0.028015554256804142,0.016269995382481688,0.02781739574459671,-0.027599145837475664,0.01880610628742474,0.007876203765681652
2016-02-01,-0.020985272666284242,-0.012811590885009485,-0.0023515247911339034,0.01082907182029425,0.025342291643150345,0.012107559816995218,-0.006590529259650828,0.024203839400956995,-0.002722649725300958,0.029579081706096678
2016-02-02,-0.0403104020921774,-0.053709137358118594,-0.04970840794836696,-0.047506803044689426,-0.00417933332679914,0.016681920772706957,-0.04820659546878577,-0.028022078755217544,-0.008314770136844825,-0.07461588905083892
2016-02-03,-0.03883529198264362,-0.015232413323509237,-0.0014854775594408795,-0.004353301025647901,-0.016894358205015794,-0.050560528552992846,-0.007374441456649244,-0.008231402648617048,0.005179341944551083,-0.0522209428263267
2016-02-04,0.009725283210627449,0.0167429466071498,0.010597692345958601,0.006089370944844499,-0.01971570783812584,-0.026399484488735026,0.027977054962748285,-0.011416015327711717,-0.013563736068981445,0.010607672100804977
2016-02-05,-0.06576007626368921,-0.022901543957968784,-0.023063783807740938,-0.006962331088005225,-0.0598612530735721,-0.03512915600076232,-0.026744169116249567,-0.08027494315663848,-0.0007191713274773501,-0.07537675524991229
2016-02-08,-0.02833874463618588,-0.05393882325337693,-0.05279953817145859,0.012152634666947024,-0.04239669094738641,-0.0012149763866627307,-0.07148947916827639,0.0063813205209322515,0.0020531826983275795,-0.09414852171129232
2016-02-09,-0.012430968482703909,-0.005721238388112503,-0.007966188604457265,-0.02092472748026953,-0.002107473141982447,-0.006804604226745065,0.011403645585588474,0.0331691381822095,0.007762676451837061,0.0017553355332851064
2016-02-10,0.0172951789385285,-0.018197125637092876,-0.0026695611459748086,-0.000881317520398928,0.01456093421326909,0.008823838627479298,-0.010081085410680864,0.026579635190876073,-0.006738074502667036,-0.03138104801021438
