Data,AMZN,BAC,C,F,FB,GOOG,MS,NFLX,PEP,TSLA
2015-12-31,675.8900146484375,15.177611351013184,45.82286071777344,10.729516983032227,104.66000366210938,758.8800048828125,27.966283798217773,114.37999725341797,85.55864715576172,48.00199890136719
2016-01-04,636.989990234375,14.816885948181152,45.27387237548828,10.638137817382812,102.22000122070312,741.8400268554688,27.676164627075195,109.95999908447266,84.57394409179688,44.68199920654297
2016-01-05,633.7899780273438,14.816885948181152,45.034793853759766,10.447763442993164,102.7300033569336,742.5800170898438,27.50032615661621,107.66000366210938,85.15618896484375,44.68600082397461
2016-01-06,632.6500244140625,14.501251220703125,44.37955093383789,9.98324966430664,102.97000122070312,743.6199951171875,26.8145809173584,117.68000030517578,85.18189239501953,43.80799865722656
2016-01-07,607.9400024414062,13.97819709777832,42.11276626586914,9.671034812927246,97.91999816894531,726.3900146484375,25.478246688842773,114.55999755859375,83.5464096069336,43.130001068115234
2016-01-08,607.0499877929688,13.707650184631348,40.84653854370117,9.5491943359375,97.33000183105469,714.469970703125,24.950748443603516,111.38999938964844,83.2381362915039,42.20000076293945
2016-01-11,617.739990234375,13.806848526000977,41.484073638916016,9.72433853149414,97.51000213623047,716.030029296875,25.021074295043945,114.97000122070312,83.43510437011719,41.56999969482422
2016-01-12,617.8900146484375,13.806848526000977,41.5106315612793,9.785259246826172,99.37000274658203,726.0700073242188,25.021074295043945,116.58000183105469,83.5892105102539,41.99399948120117
2016-01-13,581.8099975585938,13.437105178833008,40.01420211791992,9.290285110473633,95.44000244140625,700.5599975585938,23.640785217285156,106.55999755859375,82.63020324707031,40.0620002746582
2016-01-14,593.0,13.518267631530762,40.18244552612305,9.282670021057129,98.37000274658203,714.719970703125,23.869369506835938,107.05999755859375,82.03937530517578,41.236000061035156
2016-01-15,570.1799926757812,13.040304183959961,37.60574722290039,9.115138053894043,94.97000122070312,694.4500122070312,22.831951141357422,104.04000091552734,80.42958068847656,40.99800109863281
2016-01-19,574.47998046875,12.841901779174805,37.13644027709961,9.099908828735352,95.26000213623047,701.7899780273438,23.08690643310547,107.88999938964844,82.00511932373047,40.944000244140625
2016-01-20,571.77001953125,12.345901489257812,35.85251235961914,9.061834335327148,94.3499984741211,698.4500122070312,22.190162658691406,107.73999786376953,80.29255676269531,39.7400016784668
2016-01-21,575.02001953125,12.04830265045166,35.55145263671875,9.145600318908691,94.16000366210938,706.5900268554688,21.785743713378906,102.3499984741211,80.8919677734375,39.99399948120117
2016-01-22,596.3800048828125,12.228668212890625,36.35723876953125,9.244595527648926,97.94000244140625,725.25,22.515451431274414,100.72000122070312,82.0736083984375,40.5099983215332
2016-01-25,596.530029296875,11.687575340270996,35.020172119140625,9.12275505065918,97.01000213623047,711.6699829101562,21.961580276489258,99.12000274658203,82.15068054199219,39.2760009765625
2016-01-26,601.25,12.00321102142334,35.86137390136719,9.335973739624023,97.33999633789062,713.0399780273438,22.409954071044922,97.83000183105469,82.47607421875,38.71200180053711
2016-01-27,583.3499755859375,12.04830265045166,35.91450119018555,9.328103065490723,94.44999694824219,699.989990234375,22.436487197875977,91.1500015258789,82.15068054199219,37.61399841308594
2016-01-28,635.3499755859375,12.201611518859863,35.808101654052734,9.217897415161133,109.11000061035156,730.9600219726562,22.259614944458008,94.41000366210938,83.44364929199219,37.939998626708984
2016-01-29,587.0,12.751720428466797,37.74967575073242,9.398947715759277,112.20999908447266,742.9500122070312,22.88751220703125,91.83999633789062,85.02774810791016,38.2400016784668
2016-02-01,574.8099975585938,12.58939266204834,37.6610107421875,9.501282691955566,115.08999633789062,752.0,22.737167358398438,94.08999633789062,84.79656219482422,39.38800048828125
2016-02-02,552.0999755859375,11.93106460571289,35.83470916748047,9.060461044311523,114.61000061035156,764.6500244140625,21.667085647583008,91.48999786376953,84.09442138671875,36.555999755859375
2016-02-03,531.0700073242188,11.750702857971191,35.781517028808594,9.021103858947754,112.69000244140625,726.9500122070312,21.507890701293945,90.73999786376953,84.5311050415039,34.69599914550781
2016-02-04,536.260009765625,11.949100494384766,36.16273498535156,9.076204299926758,110.48999786376953,708.010009765625,22.118114471435547,89.70999908447266,83.39228820800781,35.066001892089844
2016-02-05,502.1300048828125,11.678557395935059,35.33823013305664,9.013232231140137,104.06999969482422,683.5700073242188,21.534423828125,82.79000091552734,83.33233642578125,32.52000045776367
2016-02-08,488.1000061035156,11.065317153930664,33.520790100097656,9.123435020446777,99.75,682.739990234375,20.04867935180664,83.31999969482422,83.50360870361328,29.597999572753906
2016-02-09,482.07000732421875,11.002190589904785,33.254817962646484,8.934513092041016,99.54000091552734,678.1099853515625,20.278615951538086,86.12999725341797,84.15434265136719,29.649999618530273
2016-02-10,490.4800109863281,10.803792953491211,33.166160583496094,8.926642417907715,101.0,684.1199951171875,20.075212478637695,88.44999694824219,83.5892105102539,28.733999252319336
2016-02-11,503.82000732421875,10.064299583435059,31.011829376220703,8.792820930480957,101.91000366210938,683.1099853515625,19.1820011138916,86.3499984741211,82.97270965576172,30.0939998626709
2016-02-12,507.0799865722656,10.776738166809082,33.28141403198242,9.091946601867676,102.01000213623047,682.4000244140625,20.420122146606445,87.4000015258789,84.33419799804688,30.20800018310547
2016-02-16,521.0999755859375,11.047282218933105,34.478275299072266,9.34384536743164,101.61000061035156,691.0,20.97727394104004,89.05000305175781,84.42835235595703,31.034000396728516
2016-02-17,534.0999755859375,11.326847076416016,35.267303466796875,9.658719062805176,105.19999694824219,708.4000244140625,21.428306579589844,94.76000213623047,85.24183654785156,33.736000061035156
