Data,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DD,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,^DJI,^GSPC
2015-12-31,24.343717575073242,140.10728454589844,63.664363861083984,129.67315673828125,58.18732452392578,78.4000015258789,22.774518966674805,71.52223205566406,64.28205871582031,99.13700866699219,164.75921630859375,116.98796844482422,88.43510437011719,109.24240112304688,29.9350643157959,89.20028686523438,56.620582580566406,36.165245056152344,103.17594909667969,129.17335510253906,45.05268096923828,50.510929107666016,58.95351791381836,67.94532012939453,100.22869110107422,108.34828186035156,74.8561019897461,36.61882400512695,73.62763977050781,54.45651626586914,17425.029296875,2043.93994140625
2016-01-04,24.36453628540039,136.66354370117188,61.8702392578125,126.00509643554688,58.213008880615234,76.70999908447266,22.318187713623047,70.63972473144531,62.34660339355469,97.1557846069336,161.93446350097656,115.94414520263672,87.58122253417969,107.91675567626953,29.535354614257812,87.25511169433594,54.91997528076172,35.69382858276367,102.68689727783203,125.89771270751953,44.762672424316406,49.8918342590332,58.02914047241211,67.05548858642578,97.66213989257812,107.261474609375,73.07035827636719,36.341522216796875,71.80337524414062,54.59865188598633,17148.939453125,2012.6600341796875
2016-01-05,23.753976821899414,136.5167999267578,60.91823959350586,126.51629638671875,57.60511779785156,77.05000305175781,22.216777801513672,71.24396514892578,61.87211227416992,95.19342803955078,159.14625549316406,115.37798309326172,88.29847717285156,107.83740234375,29.396329879760742,87.6198501586914,55.014923095703125,35.82009506225586,104.10166931152344,126.44650268554688,45.33415222167969,50.11944580078125,58.84033966064453,67.26937103271484,98.10617065429688,107.46412658691406,73.62055206298828,36.84065246582031,69.9186019897461,55.89564895629883,17158.66015625,2016.7099609375
2016-01-06,23.28911590576172,135.26535034179688,59.2265739440918,124.50739288330078,56.69755172729492,76.29000091552734,21.98015785217285,68.42948913574219,60.51105499267578,94.68395233154297,155.2610626220703,114.18377685546875,87.2994613647461,107.29759979248047,28.744617462158203,87.17697143554688,54.220733642578125,35.6264762878418,103.40303039550781,123.89974212646484,44.71150207519531,49.20901107788086,58.00083923339844,66.6191177368164,96.83623504638672,106.36811065673828,72.65528869628906,36.50782012939453,68.84651947021484,56.45532989501953,16906.509765625,1990.260009765625
2016-01-07,22.30620765686035,132.0372772216797,58.693336486816406,119.28780364990234,54.74540710449219,74.30000305175781,21.47311782836914,66.00462341308594,58.23846435546875,93.87260437011719,150.48916625976562,110.92847442626953,84.72932434082031,105.46394348144531,27.667129516601562,86.16097259521484,52.028079986572266,35.03718948364258,101.01009368896484,120.88134002685547,44.31913757324219,47.497398376464844,56.45389938354492,66.03726959228516,94.52720642089844,103.23664093017578,71.22669982910156,36.307315826416016,70.17796325683594,57.77009963989258,16514.099609375,1943.0899658203125
2016-01-08,22.42415428161621,130.07809448242188,58.50027084350586,116.57939147949219,54.18888473510742,73.2300033569336,20.940723419189453,65.29701232910156,57.788917541503906,93.6367416381836,149.86752319335938,109.60157012939453,84.04621887207031,104.48756408691406,27.380382537841797,85.240478515625,50.862701416015625,34.94458770751953,100.8528823852539,120.4697265625,43.568546295166016,47.643062591552734,55.52950668334961,65.0019760131836,94.12757873535156,101.45909881591797,70.34834289550781,35.954429626464844,70.07421112060547,56.44643783569336,16346.4501953125,1922.030029296875
2016-01-11,22.78725814819336,127.47149658203125,58.88641357421875,116.7767105102539,52.6306037902832,73.18000030517578,21.35481071472168,64.21575164794922,56.690093994140625,94.26883697509766,151.50393676757812,111.26460266113281,84.03768920898438,105.75762939453125,27.858301162719727,84.72813415527344,50.785003662109375,35.00352096557617,101.90960693359375,120.44403076171875,43.71355438232422,47.615745544433594,56.17091751098633,65.60091400146484,94.8380355834961,100.9249038696289,71.35221099853516,36.16295623779297,70.04828643798828,57.0505256652832,16398.5703125,1923.6700439453125
2016-01-12,23.11797523498535,130.14712524414062,59.20819091796875,118.31026458740234,52.741905212402344,74.45999908447266,21.422414779663086,65.31293487548828,55.92839431762695,95.72174835205078,151.48562622070312,112.77727508544922,84.67809295654297,105.49567413330078,28.397043228149414,85.30994415283203,50.89723205566406,35.458099365234375,102.56463623046875,120.78701782226562,44.148555755615234,48.05275344848633,56.53878402709961,65.46401977539062,95.89485168457031,103.39323425292969,72.16302490234375,36.03463363647461,70.73993682861328,56.51750946044922,16516.220703125,1938.6800537109375
2016-01-13,22.523605346679688,125.54679107666016,57.78314971923828,114.90229034423828,52.134002685546875,72.3499984741211,20.788618087768555,64.66098022460938,54.479923248291016,92.91028594970703,145.3424835205078,107.39006042480469,82.91059112548828,104.12239074707031,27.727954864501953,84.25051879882812,49.49876022338867,35.23081588745117,100.5384750366211,118.95198822021484,43.2103157043457,47.014869689941406,55.444618225097656,64.89930725097656,94.18975830078125,100.6025619506836,70.56068420410156,35.4090576171875,69.10587310791016,55.00729751586914,16151.41015625,1890.280029296875
2016-01-14,23.016216278076172,132.19268798828125,58.18767547607422,115.87088012695312,53.3155517578125,73.06999969482422,20.839319229125977,67.95246124267578,55.241615295410156,93.50465393066406,147.5364227294922,105.81549835205078,84.31090545654297,105.50362396240234,28.44917869567871,85.8743896484375,50.241153717041016,35.25605773925781,101.8484878540039,121.0614013671875,44.18267059326172,48.35320281982422,55.189937591552734,65.15599060058594,95.00679779052734,102.01171875,71.23637390136719,35.986515045166016,70.7831802368164,56.0200309753418,16379.0498046875,1921.8399658203125
