Data,ALTR.LS,BCP.LS,COR.LS,CTT.LS,EDP.LS,EDPR.LS,GALP.LS,IBS.LS,JMT.LS,EGL.LS,NBA.LS,NOS.LS,NVG.LS,PHR.LS,RAM.LS,RENE.LS,SEM.LS,SON.LS,PSI20.LS
2016-01-04,-0.029531705703673725,-0.0020729189812216803,-0.00318809800031987,-0.014781374365131317,-0.034560718024972556,0.018051037108328834,-0.03873897006233131,0.011049648422978455,-0.038360891366321474,0.005321977821206832,-0.04322695291913606,-0.01699521778994715,-0.008873976764441913,-0.04461702310936678,-0.020542145837706884,0.005690122353191641,-0.0035636719139514935,-0.003795055214029869,-0.01555937555037309
2016-01-05,0.000214000445064192,0.036664392868796275,-0.0003362437228355994,-0.0057437461347109265,0.0009415934205852092,-0.0037223400401178324,-0.031810714042642504,-0.011049648422978443,0.01788809499153495,-0.006924066933955991,0.023982034266629197,-0.010647426783291615,-0.016854531394352775,-0.011472461839179507,0.0,0.009177559898363741,0.0,0.004741659138042171,-0.0030058080282481504
2016-01-06,-0.00946250754095342,-0.0304585791974826,-0.013882031407728854,-0.028039368781053203,-0.0047163292905084255,-0.0002762960770191824,-0.022631143220590195,0.0,-0.011035933717535189,-0.04873674492347254,-0.007134414639185675,0.0,0.003958255219725273,-0.011605535491686254,0.001884979288206306,-0.005991231290798877,0.00790210430205641,0.006600639095784174,-0.009861670762875516
2016-01-07,-0.0038969107936038493,-0.03141702400959384,0.008994528972132883,-0.009284490946338418,0.01780472046099025,-0.000691005881877477,-0.0019349489071408268,0.0,0.0017058703842620121,-0.0342498270262192,-0.0014329913713418052,-0.0036685804599472594,-0.014781444195586354,-0.02761516616030754,-0.017094551695415912,-0.0035411310408801715,-0.013071997591428797,0.0,-0.004467433804325209
2016-01-08,-0.01288079243130448,-0.019334869154826403,0.0,0.002030901140826494,-0.006211236997677291,-0.005406557871943778,-0.014993052160864415,0.0,0.028975424292978485,-0.011682500006149515,0.002863932216449391,0.0031052379262295473,-0.01007341163227335,0.003991967955799476,0.0,0.006365034972781896,-0.012841309446594906,-0.020893394310109056,-0.003048731230210021
2016-01-11,-0.016617210217538644,-0.01750563511121551,0.019408387575124558,-0.013094030038640653,-0.0031200410707227094,-0.02462658398396366,-0.0330275913698977,-0.022359351968396175,0.0004136660992388818,-0.0005876993585116306,-0.0019083433068323068,-0.006787420260908569,-0.023709525599276665,-0.012024182458259251,0.044951582098754356,-0.015273177832348148,-0.029510296945884737,-0.0184025024711586,-0.015550676168594976
2016-01-12,0.05329093624203739,0.017505635111215393,0.020500890653224576,0.010584605278907413,-0.000625450963331756,0.025738063515892026,0.0029897106615833953,0.011185909469785999,0.03855236654066785,-0.0005880449521627509,-0.0019120918428987396,0.004671144301943967,0.03721345306444982,0.023905573665775354,0.08071863657690603,0.014215024243033001,0.028297954789466763,0.01840250247115846,0.017318725653318257
2016-01-13,-0.0016960724011139002,0.004329903912584442,0.01242249932817374,-0.003835982999912822,0.0040568359644479945,0.010772058664125164,0.01050005052963094,-0.02272820310578748,-0.011209206545456008,-0.01183442476215366,0.01754844213660995,-0.0024036106478923856,-0.007735200857117083,-0.007905147388392812,0.008579436958113149,-0.01206971125497444,0.050079480673416416,0.012398788703785144,0.002435366688252566
2016-01-14,-0.026444597722716748,-0.04190332653099742,-0.011773433698226437,-0.04432625002656314,-0.02235940023140093,-0.027998190385258602,0.048599445847254216,-0.02313909252942916,-0.04951496559637274,-0.05947197684776177,0.0014095259579456976,-0.03412605462101851,-0.04379822306284798,-0.024097604037264044,-0.015190191909370137,-0.023487938894834113,-0.054943690977937706,-0.023982022065100358,-0.024439547902632818
2016-01-15,-0.08855748333824338,-0.043734427836484006,-0.02696648791729264,-0.03383659715453756,-0.03006538021963705,-0.021850248555396273,-0.03289718792044993,-0.011952151040999068,-0.061047809601931034,-0.09329072575479876,0.0,-0.04096247775022545,-0.0451761093236879,-0.03306080544003498,-0.05775879980045789,-0.001829981630698993,-0.0590006199317517,-0.04061967006672333,-0.03855653276359018
